Id,Name,Custodian,Account Number Formats
361,Pontera,pontera,"NNNN-NNNNNN (Master)
NNNN-NNNNNNN (Master)"
364,Glenmede,Glenmede,NNNN (Master)
365,iCapital ,icapitalv2,"NNN (Master)
NNNN (Master)
NNNNN (Master)
NNNNNN (Master)"
368,Moneda Gestion de Inversiones,pershingmoneda,XXXNNNNNN (Master)
370,Banco Itau (US),itauust24,"NNNNNNN (Master)
NNNNNNN-N (Master)"
371,HSBC Bank USA - Brokerage Trust & Custody,hsbcusa,"NN-NNNNNNNN (Master)
NNNNNNNNNN (Master)
NNNNNNNN (Master)
NNNNNA (Master)
NNNNNNNNA (Master)
NNNNNNNNN (Master)"
372,Apex Clearing,apexclearing,XXXXXXXX (Master)
374,DBS Bank Limited,dbsbank,"AANNNNNNNNNN
NNNNNNNNNN
NNNNNNNNNNNN
NNNNNNNNNNNNN
AANNNNNNNNNN (Master)
NNNNNNNNNN (Master)
NNNNNNNNNNNN (Master)
NNNNNNNNNNNNN (Master)"
375,R.W. Baird & Co.,rwbaird,NNNNNNNN (Master)
376,Fidelity Investments: Tax Exempt Fidelity Participant Recording System (FPRS),fidelityfprs,"NNNNNNNNNNNNN
ANNNNNNNN (Master)"
377,The Private Trust Company,fitekprivatetrust,"XXXXXNNN
XXXXXNNN (Master)"
378,Sanibel Captiva Trust Company,spcsanibeltrust,AAAAAAAAAAAANN (Master)
379,HSBC Private Bank (Geneva),evarehsbcgeneva,AAAAAAA (Master)
380,Spire Securities LLC,pershingspiresecurities,"XXXNNNNNN
XXXNNNNNN (Master)"
381,Royal Alliance,pershingroyalalliance,XXXNNNNNN (Master)
382,Insigneo International Financial Services (IIFS),pershinginsigneointernational,XXXNNNNNN (Master)
383,Zions Bank,fitekzionsbancorp,"XXNNNNNNX (Master)
XXXNNNNNN (Master)"
